"cluster","cellatlas","monaco","azimuth"
"0","T_cells","T cells","CD8 TEM"
"1","T_cells","CD4+ T cells","CD4 TCM"
"2","T_cells","T cells","CD8 TCM"
"3","T_cells","T cells","CD4 TEM"
"4","T_cells","T cells","CD8 TEM"
"5","T_cells","T cells","CD4 TCM"
"6","T_cells","CD4+ T cells","CD4 TCM"
"7","T_cells","T cells","CD4 TCM"
"8","T_cells","CD4+ T cells","CD4 TCM"
"9","T_cells","T cells","CD4 TCM"
"10","T_cells","T cells","CD8 TEM"
"11","T_cells","T cells","NK Proliferating"
"12","T_cells","T cells","CD8 TEM"
"13","T_cells","T cells","HSPC"
